link,label (noise)
http://dx.doi.org/10.1257/aer.104.12.3841,1
http://dx.doi.org/10.1257/aer.104.11.3752,0
http://dx.doi.org/10.1257/aer.104.12.3921,0
http://dx.doi.org/10.1257/aer.103.5.1629,1
http://dx.doi.org/10.1257/aer.104.4.1091,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.293,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.93,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.166,1
http://dx.doi.org/10.1257/aer.104.5.475,1
http://dx.doi.org/10.1257/aer.102.3.459,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.556,0
http://dx.doi.org/10.1257/aer.102.6.2897,1
http://dx.doi.org/10.1257/aer.102.6.3077,0
http://dx.doi.org/10.1257/aer.102.5.1857,0
http://dx.doi.org/10.1257/aer.104.4.1461,1
http://dx.doi.org/10.1257/aer.103.7.2848,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2782,0
http://dx.doi.org/10.1257/aer.104.11.3701,1
http://dx.doi.org/10.1257/aer.102.3.219,1
http://dx.doi.org/10.1257/aer.104.5.272,1
http://dx.doi.org/10.1257/aer.104.10.3038,0
http://dx.doi.org/10.1257/aer.103.4.1463,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.504,1
http://dx.doi.org/10.1257/aer.103.3.418,1
http://dx.doi.org/10.1257/aer.103.3.208,1
http://dx.doi.org/10.1257/aer.104.9.2872,0
http://dx.doi.org/10.1257/aer.104.5.538,1
http://dx.doi.org/10.1257/aer.104.5.218,0
http://dx.doi.org/10.1257/aer.102.3.71,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.23,0
http://dx.doi.org/10.1257/aer.103.2.948,1
http://dx.doi.org/10.1257/aer.102.3.600,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.544,1
http://dx.doi.org/10.1257/aer.102.3.245,1
http://dx.doi.org/10.1257/aer.103.3.683,1
http://dx.doi.org/10.1257/aer.102.5.2147,1
http://dx.doi.org/10.1257/aer.102.3.35,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2796,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.1649,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.142,0
http://dx.doi.org/10.1257/aer.104.8.2509,1
http://dx.doi.org/10.1257/aer.102.6.2639,1
http://dx.doi.org/10.1257/aer.103.7.3001,1
http://dx.doi.org/10.1257/aer.104.5.260,1
http://dx.doi.org/10.1257/aer.103.1.554,1
http://dx.doi.org/10.1257/aer.103.2.585,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1144,1
http://dx.doi.org/10.1257/aer.102.3.156,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.157,1
http://dx.doi.org/10.1257/aer.103.3.220,0
http://dx.doi.org/10.1257/aer.103.2.1091,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2042,0
http://dx.doi.org/10.1257/aer.102.2.941,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.242,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.640,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1601,0
http://dx.doi.org/10.1257/aer.104.5.112,0
http://dx.doi.org/10.1257/aer.104.4.i,1
http://dx.doi.org/10.1257/aer.104.5.1,1
http://dx.doi.org/10.1257/aer.104.5.336,1
http://dx.doi.org/10.1257/aer.103.3.654,1
http://dx.doi.org/10.1257/aer.104.11.3498,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2182,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1591,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.6.2590,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.1012,1
http://dx.doi.org/10.1257/aer.104.5.298,1
http://dx.doi.org/10.1257/aer.103.3.767,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.1775,1
http://dx.doi.org/10.1257/aer.102.6.2606,0
http://dx.doi.org/10.1257/aer.103.7.2790,0
http://dx.doi.org/10.1257/aer.104.5.127,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.431,1
http://dx.doi.org/10.1257/aer.102.3.77,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.247,1
http://dx.doi.org/10.1257/aer.104.11.3397,1
http://dx.doi.org/10.1257/aer.103.6.2585,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3221,1
http://dx.doi.org/10.1257/aer.104.7.2049,1
http://dx.doi.org/10.1257/aer.104.5.581,1
http://dx.doi.org/10.1257/aer.103.4.i,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3456,0
http://dx.doi.org/10.1257/aer.104.7.2238,1
http://dx.doi.org/10.1257/aer.103.1.501,0
http://dx.doi.org/10.1257/aer.104.2.537,0
http://dx.doi.org/10.1257/aer.102.2.750,0
http://dx.doi.org/10.1257/aer.104.5.240,1
http://dx.doi.org/10.1257/aer.103.3.320,1
http://dx.doi.org/10.1257/aer.102.3.127,1
http://dx.doi.org/10.1257/aer.103.3.539,1
http://dx.doi.org/10.1257/aer.102.5.2083,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.630,0
http://dx.doi.org/10.1257/aer.104.10.3003,1
http://dx.doi.org/10.1257/aer.103.5.1960,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.844,1
http://dx.doi.org/10.1257/aer.102.7.3406,1
http://dx.doi.org/10.1257/aer.104.7.1942,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.2980,1
http://dx.doi.org/10.1257/aer.102.3.82,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.684,0
http://dx.doi.org/10.1257/aer.104.5.436,1
http://dx.doi.org/10.1257/aer.102.6.2509,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.653,1
http://dx.doi.org/10.1257/aer.104.5.183,0
http://dx.doi.org/10.1257/aer.103.3.111,0
http://dx.doi.org/10.1257/aer.104.8.2527,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.7.3440,1
http://dx.doi.org/10.1257/aer.104.11.i,1
http://dx.doi.org/10.1257/aer.102.3.575,1
http://dx.doi.org/10.1257/aer.103.1.438,1
http://dx.doi.org/10.1257/aer.102.3.309,1
http://dx.doi.org/10.1257/aer.102.6.2381,0
http://dx.doi.org/10.1257/aer.102.3.498,0
http://dx.doi.org/10.1257/aer.102.4.1187,1
http://dx.doi.org/10.1257/aer.103.3.338,1
http://dx.doi.org/10.1257/aer.104.5.177,1
http://dx.doi.org/10.1257/aer.104.5.621,1
http://dx.doi.org/10.1257/aer.104.5.599,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.499,0
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.598,1
http://dx.doi.org/10.1257/aer.102.2.686,1
http://dx.doi.org/10.1257/aer.102.2.1118,1
http://dx.doi.org/10.1257/aer.104.4.1350,1
http://dx.doi.org/10.1257/aer.103.3.636,1
http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.2.724,1
http://dx.doi.org/10.1257/aer.104.3.832,0
http://dx.doi.org/10.1257/aer.103.3.611,0
http://dx.doi.org/10.1257/aer.104.8.2303,1
http://dx.doi.org/10.1257/aer.103.4.1529,1
http://dx.doi.org/10.1257/aer.104.5.61,0
http://dx.doi.org/10.1257/aer.102.2.1029,1
